Unnamed: 0,level_0,index,survived,sex,age,fare,class,who,alive
327,327,327,1,female,36.0,13.0,Second,woman,yes
328,328,328,1,female,31.0,20.525,Third,woman,yes
329,329,329,1,female,16.0,57.9792,First,woman,yes
330,330,330,1,female,29.69911764705882,23.25,Third,woman,yes
331,331,331,0,male,45.5,28.5,First,man,no
332,332,332,0,male,38.0,153.4625,First,man,no
333,333,333,0,male,16.0,18.0,Third,man,no
334,334,334,1,female,29.69911764705882,133.65,First,woman,yes
335,335,335,0,male,29.69911764705882,7.8958,Third,man,no
336,336,336,0,male,29.0,66.6,First,man,no
337,337,337,1,female,41.0,134.5,First,woman,yes
338,338,338,1,male,45.0,8.05,Third,man,yes
339,339,339,0,male,45.0,35.5,First,man,no
340,340,340,1,male,2.0,26.0,Second,child,yes
341,341,341,1,female,24.0,263.0,First,woman,yes
342,342,342,0,male,28.0,13.0,Second,man,no
343,343,343,0,male,25.0,13.0,Second,man,no
344,344,344,0,male,36.0,13.0,Second,man,no
345,345,345,1,female,24.0,13.0,Second,woman,yes
346,346,346,1,female,40.0,13.0,Second,woman,yes
347,347,347,1,female,29.69911764705882,16.1,Third,woman,yes
348,348,348,1,male,3.0,15.9,Third,child,yes
349,349,349,0,male,42.0,8.6625,Third,man,no
350,350,350,0,male,23.0,9.225,Third,man,no
351,351,351,0,male,29.69911764705882,35.0,First,man,no
352,352,352,0,male,15.0,7.2292,Third,child,no
353,353,353,0,male,25.0,17.8,Third,man,no
354,354,354,0,male,29.69911764705882,7.225,Third,man,no
355,355,355,0,male,28.0,9.5,Third,man,no
356,356,356,1,female,22.0,55.0,First,woman,yes
357,357,357,0,female,38.0,13.0,Second,woman,no
358,358,358,1,female,29.69911764705882,7.8792,Third,woman,yes
359,359,359,1,female,29.69911764705882,7.8792,Third,woman,yes
360,360,360,0,male,40.0,27.9,Third,man,no
361,361,361,0,male,29.0,27.7208,Second,man,no
362,362,362,0,female,45.0,14.4542,Third,woman,no
363,363,363,0,male,35.0,7.05,Third,man,no
364,364,364,0,male,29.69911764705882,15.5,Third,man,no
365,365,365,0,male,30.0,7.25,Third,man,no
366,366,366,1,female,60.0,75.25,First,woman,yes
367,367,367,1,female,29.69911764705882,7.2292,Third,woman,yes
368,368,368,1,female,29.69911764705882,7.75,Third,woman,yes
369,369,369,1,female,24.0,69.3,First,woman,yes
370,370,370,1,male,25.0,55.4417,First,man,yes
371,371,371,0,male,18.0,6.4958,Third,man,no
372,372,372,0,male,19.0,8.05,Third,man,no
373,373,373,0,male,22.0,135.6333,First,man,no
374,374,374,0,female,3.0,21.075,Third,child,no
375,375,375,1,female,29.69911764705882,82.1708,First,woman,yes
376,376,376,1,female,22.0,7.25,Third,woman,yes
377,377,377,0,male,27.0,211.5,First,man,no
378,378,378,0,male,20.0,4.0125,Third,man,no
379,379,379,0,male,19.0,7.775,Third,man,no
380,380,380,1,female,42.0,227.525,First,woman,yes
381,381,381,1,female,1.0,15.7417,Third,child,yes
382,382,382,0,male,32.0,7.925,Third,man,no
383,383,383,1,female,35.0,52.0,First,woman,yes
384,384,384,0,male,29.69911764705882,7.8958,Third,man,no
385,385,385,0,male,18.0,73.5,Second,man,no
386,386,386,0,male,1.0,46.9,Third,child,no
387,387,387,1,female,36.0,13.0,Second,woman,yes
388,388,388,0,male,29.69911764705882,7.7292,Third,man,no
389,389,389,1,female,17.0,12.0,Second,woman,yes
390,390,390,1,male,36.0,120.0,First,man,yes
391,391,391,1,male,21.0,7.7958,Third,man,yes
392,392,392,0,male,28.0,7.925,Third,man,no
393,393,393,1,female,23.0,113.275,First,woman,yes
394,394,394,1,female,24.0,16.7,Third,woman,yes
395,395,395,0,male,22.0,7.7958,Third,man,no
396,396,396,0,female,31.0,7.8542,Third,woman,no
397,397,397,0,male,46.0,26.0,Second,man,no
398,398,398,0,male,23.0,10.5,Second,man,no
399,399,399,1,female,28.0,12.65,Second,woman,yes
400,400,400,1,male,39.0,7.925,Third,man,yes
401,401,401,0,male,26.0,8.05,Third,man,no
402,402,402,0,female,21.0,9.825,Third,woman,no
403,403,403,0,male,28.0,15.85,Third,man,no
404,404,404,0,female,20.0,8.6625,Third,woman,no
405,405,405,0,male,34.0,21.0,Second,man,no
406,406,406,0,male,51.0,7.75,Third,man,no
407,407,407,1,male,3.0,18.75,Second,child,yes
408,408,408,0,male,21.0,7.775,Third,man,no
409,409,409,0,female,29.69911764705882,25.4667,Third,woman,no
410,410,410,0,male,29.69911764705882,7.8958,Third,man,no
411,411,411,0,male,29.69911764705882,6.8583,Third,man,no
412,412,412,1,female,33.0,90.0,First,woman,yes
413,413,413,0,male,29.69911764705882,0.0,Second,man,no
414,414,414,1,male,44.0,7.925,Third,man,yes
415,415,415,0,female,29.69911764705882,8.05,Third,woman,no
416,416,416,1,female,34.0,32.5,Second,woman,yes
417,417,417,1,female,18.0,13.0,Second,woman,yes
418,418,418,0,male,30.0,13.0,Second,man,no
419,419,419,0,female,10.0,24.15,Third,child,no
420,420,420,0,male,29.69911764705882,7.8958,Third,man,no
421,421,421,0,male,21.0,7.7333,Third,man,no
422,422,422,0,male,29.0,7.875,Third,man,no
423,423,423,0,female,28.0,14.4,Third,woman,no
424,424,424,0,male,18.0,20.2125,Third,man,no
425,425,425,0,male,29.69911764705882,7.25,Third,man,no
426,426,426,1,female,28.0,26.0,Second,woman,yes
427,427,427,1,female,19.0,26.0,Second,woman,yes
428,428,428,0,male,29.69911764705882,7.75,Third,man,no
429,429,429,1,male,32.0,8.05,Third,man,yes
430,430,430,1,male,28.0,26.55,First,man,yes
431,431,431,1,female,29.69911764705882,16.1,Third,woman,yes
432,432,432,1,female,42.0,26.0,Second,woman,yes
433,433,433,0,male,17.0,7.125,Third,man,no
434,434,434,0,male,50.0,55.9,First,man,no
435,435,435,1,female,14.0,120.0,First,child,yes
436,436,436,0,female,21.0,34.375,Third,woman,no
437,437,437,1,female,24.0,18.75,Second,woman,yes
438,438,438,0,male,64.0,263.0,First,man,no
439,439,439,0,male,31.0,10.5,Second,man,no
440,440,440,1,female,45.0,26.25,Second,woman,yes
441,441,441,0,male,20.0,9.5,Third,man,no
442,442,442,0,male,25.0,7.775,Third,man,no
443,443,443,1,female,28.0,13.0,Second,woman,yes
444,444,444,1,male,29.69911764705882,8.1125,Third,man,yes
445,445,445,1,male,4.0,81.8583,First,child,yes
446,446,446,1,female,13.0,19.5,Second,child,yes
447,447,447,1,male,34.0,26.55,First,man,yes
448,448,448,1,female,5.0,19.2583,Third,child,yes
449,449,449,1,male,52.0,30.5,First,man,yes
450,450,450,0,male,36.0,27.75,Second,man,no
451,451,451,0,male,29.69911764705882,19.9667,Third,man,no
452,452,452,0,male,30.0,27.75,First,man,no
453,453,453,1,male,49.0,89.1042,First,man,yes
454,454,454,0,male,29.69911764705882,8.05,Third,man,no
455,455,455,1,male,29.0,7.8958,Third,man,yes
456,456,456,0,male,65.0,26.55,First,man,no
457,457,457,1,female,29.69911764705882,51.8625,First,woman,yes
458,458,458,1,female,50.0,10.5,Second,woman,yes
459,459,459,0,male,29.69911764705882,7.75,Third,man,no
460,460,460,1,male,48.0,26.55,First,man,yes
461,461,461,0,male,34.0,8.05,Third,man,no
462,462,462,0,male,47.0,38.5,First,man,no
463,463,463,0,male,48.0,13.0,Second,man,no
464,464,464,0,male,29.69911764705882,8.05,Third,man,no
465,465,465,0,male,38.0,7.05,Third,man,no
466,466,466,0,male,29.69911764705882,0.0,Second,man,no
467,467,467,0,male,56.0,26.55,First,man,no
468,468,468,0,male,29.69911764705882,7.725,Third,man,no
469,469,469,1,female,0.75,19.2583,Third,child,yes
470,470,470,0,male,29.69911764705882,7.25,Third,man,no
471,471,471,0,male,38.0,8.6625,Third,man,no
472,472,472,1,female,33.0,27.75,Second,woman,yes
473,473,473,1,female,23.0,13.7917,Second,woman,yes
474,474,474,0,female,22.0,9.8375,Third,woman,no
475,475,475,0,male,29.69911764705882,52.0,First,man,no
476,476,476,0,male,34.0,21.0,Second,man,no
477,477,477,0,male,29.0,7.0458,Third,man,no
478,478,478,0,male,22.0,7.5208,Third,man,no
479,479,479,1,female,2.0,12.2875,Third,child,yes
480,480,480,0,male,9.0,46.9,Third,child,no
481,481,481,0,male,29.69911764705882,0.0,Second,man,no
482,482,482,0,male,50.0,8.05,Third,man,no
483,483,483,1,female,63.0,9.5875,Third,woman,yes
484,484,484,1,male,25.0,91.0792,First,man,yes
485,485,485,0,female,29.69911764705882,25.4667,Third,woman,no
486,486,486,1,female,35.0,90.0,First,woman,yes
487,487,487,0,male,58.0,29.7,First,man,no
488,488,488,0,male,30.0,8.05,Third,man,no
489,489,489,1,male,9.0,15.9,Third,child,yes
490,490,490,0,male,29.69911764705882,19.9667,Third,man,no
491,491,491,0,male,21.0,7.25,Third,man,no
492,492,492,0,male,55.0,30.5,First,man,no
493,493,493,0,male,71.0,49.5042,First,man,no
494,494,494,0,male,21.0,8.05,Third,man,no
495,495,495,0,male,29.69911764705882,14.4583,Third,man,no
496,496,496,1,female,54.0,78.2667,First,woman,yes
497,497,497,0,male,29.69911764705882,15.1,Third,man,no
498,498,498,0,female,25.0,151.55,First,woman,no
499,499,499,0,male,24.0,7.7958,Third,man,no
500,500,500,0,male,17.0,8.6625,Third,man,no
501,501,501,0,female,21.0,7.75,Third,woman,no
502,502,502,0,female,29.69911764705882,7.6292,Third,woman,no
503,503,503,0,female,37.0,9.5875,Third,woman,no
504,504,504,1,female,16.0,86.5,First,woman,yes
505,505,505,0,male,18.0,108.9,First,man,no
506,506,506,1,female,33.0,26.0,Second,woman,yes
507,507,507,1,male,29.69911764705882,26.55,First,man,yes
508,508,508,0,male,28.0,22.525,Third,man,no
509,509,509,1,male,26.0,56.4958,Third,man,yes
510,510,510,1,male,29.0,7.75,Third,man,yes
511,511,511,0,male,29.69911764705882,8.05,Third,man,no
512,512,512,1,male,36.0,26.2875,First,man,yes
513,513,513,1,female,54.0,59.4,First,woman,yes
514,514,514,0,male,24.0,7.4958,Third,man,no
515,515,515,0,male,47.0,34.0208,First,man,no
516,516,516,1,female,34.0,10.5,Second,woman,yes
517,517,517,0,male,29.69911764705882,24.15,Third,man,no
518,518,518,1,female,36.0,26.0,Second,woman,yes
519,519,519,0,male,32.0,7.8958,Third,man,no
520,520,520,1,female,30.0,93.5,First,woman,yes
521,521,521,0,male,22.0,7.8958,Third,man,no
522,522,522,0,male,29.69911764705882,7.225,Third,man,no
